_id,1. open,2. high,3. low,4. close,5. volume,date,symbol
67999cac0da2ccc8cae2f31c,0.6426,0.6700,0.6110,0.6400,195224,2024-02-13,ELAB
67999cac0da2ccc8cae2f31d,0.6790,0.7000,0.6400,0.6522,197759,2024-02-12,ELAB
67999cac0da2ccc8cae2f31e,0.6720,0.6850,0.6300,0.6625,230650,2024-02-09,ELAB
67999cac0da2ccc8cae2f31f,0.6800,0.6800,0.6110,0.6400,299332,2024-02-08,ELAB
67999cac0da2ccc8cae2f320,0.7100,0.7100,0.6306,0.6400,224521,2024-02-07,ELAB
67999cac0da2ccc8cae2f321,0.7292,0.7356,0.6845,0.6900,237552,2024-02-06,ELAB
67999cac0da2ccc8cae2f322,0.8300,0.8400,0.7510,0.7575,422356,2024-02-05,ELAB
67999cac0da2ccc8cae2f323,0.7860,0.8590,0.7850,0.8310,1075045,2024-02-02,ELAB
67999cac0da2ccc8cae2f324,1.0400,1.0401,0.7357,0.8400,21507004,2024-02-01,ELAB
67999cac0da2ccc8cae2f325,0.6500,0.7400,0.6201,0.6910,401418,2024-01-31,ELAB
67999cac0da2ccc8cae2f326,0.6977,0.7200,0.6301,0.6400,218039,2024-01-30,ELAB
67999cac0da2ccc8cae2f327,0.7400,0.7500,0.6778,0.6851,212717,2024-01-29,ELAB
67999cac0da2ccc8cae2f328,0.7328,0.7889,0.7109,0.7450,155639,2024-01-26,ELAB
67999cac0da2ccc8cae2f329,0.8260,0.8260,0.7002,0.7500,314598,2024-01-25,ELAB
67999cac0da2ccc8cae2f32a,0.9510,0.9510,0.7701,0.7920,404194,2024-01-24,ELAB
67999cac0da2ccc8cae2f32b,1.0500,1.0500,0.8641,0.8800,522573,2024-01-23,ELAB
67999cac0da2ccc8cae2f32c,1.0300,1.0900,1.0300,1.0300,330908,2024-01-22,ELAB
67999cac0da2ccc8cae2f32d,1.0800,1.0800,0.9700,1.0200,337663,2024-01-19,ELAB
67999cac0da2ccc8cae2f32e,1.0500,1.2000,0.9408,1.0700,775879,2024-01-18,ELAB
